,0,1
1019,messy datasets,4.0
1020,scientific libraries,4.0
1021,predictive modeling,4.0
1022,effectively communicate,4.0
1023,unlimited paid,4.0
1024,family leave,4.0
1025,happy hours,4.0
1026,arthur lawrence,4.0
1027,annie@arthurlawrence,4.0
1028,windows server,4.0
1029,gams/aimms,4.0
1030,optimization package,4.0
1031,optimization concepts,4.0
1032,in-depth,4.0
1033,pipelines hydraulic,4.0
1034,background operations,4.0
1035,excellent communication,4.0
1036,sorting/querying,4.0
1037,inventory tracking,4.0
1038,ms-excel,4.0
1039,excel functions,4.0
1040,critical thinking,4.0
1041,strong written,3.8
1042,strong interest,3.8
1043,agile plm,3.75
1044,environment proven,3.75
1045,collaborative environment,3.75
1046,mentor graphics,3.666666666666667
1047,complex electronics,3.666666666666667
1048,increasingly complex,3.666666666666667
1049,interpret sql,3.666666666666667
1050,prioritizes multiple,3.666666666666667
1051,machine learning,3.666666666666667
1052,sas/sql,3.666666666666667
1053,prioritize multiple,3.666666666666667
1054,systematic issues,3.5
1055,continuous improvements,3.5
1056,change notices,3.5
1057,outcomes researching,3.5
1058,contract-to-,3.5
1059,customer focused,3.5
1060,competing deadlines,3.5
1061,bs/ba,3.5
1062,previous exposure,3.5
1063,unique problems,3.5
1064,communication skill,3.5
1065,strong financial,3.466666666666667
1066,plm system,3.416666666666667
1067,configuration management,3.4
1068,lifecycle management,3.4
1069,seattle location,3.333333333333333
1070,manufacturing plans,3.333333333333333
1071,enable companies,3.333333333333333
1072,wilsonville site,3.333333333333333
1073,written reports,3.333333333333333
1074,driven environment,3.25
1075,siemens plm,3.25
1076,description saas,3.2
1077,system administration,3.166666666666667
1078,strong organizational,3.1333333333333333
1079,agile analyst,3.125
1080,finance mentor,2.9523809523809526
1081,financial performance,2.916666666666667
1082,category finance,2.7857142857142856
1083,long,2.0
1084,based,2.0
1085,strong,1.8
1086,plm,1.75
1087,environment,1.75
1088,learning,1.6666666666666667
1089,sql,1.6666666666666667
1090,complex,1.6666666666666667
1091,system,1.6666666666666667
1092,financial,1.6666666666666667
1093,multiple,1.6666666666666667
1094,teams,1.6666666666666667
1095,mentor,1.6666666666666667
1096,change,1.5
1097,administration,1.5
1098,customer,1.5
1099,issues,1.5
1100,contract,1.5
1101,category,1.5
1102,siemens,1.5
1103,researching,1.5
1104,driven,1.5
1105,bs,1.5
1106,unique,1.5
1107,exposure,1.5
1108,skill,1.5
1109,improvements,1.5
1110,deadlines,1.5
1111,management,1.4
1112,manufacturing,1.3333333333333333
1113,organizational,1.3333333333333333
1114,companies,1.3333333333333333
1115,location,1.3333333333333333
1116,wilsonville,1.3333333333333333
1117,reports,1.3333333333333333
1118,finance,1.2857142857142858
